,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
11631,Other,Married,Husband and wife,Female,Single Family Residence,67.0,191363.0,1995.0,20.0
11632,Hispanic,Married,Married,Male,Single Family Residence,33.0,113127.0,1983.0,25.0
11633,Western European,Married,Unknown or not provided,Female,Single Family Residence,63.0,146339.0,1989.0,25.0
11634,Western European,Single,Single Man,Male,Single Family Residence,47.0,139759.0,1995.0,20.0
11635,Western European,Married,Single Woman,Female,Single Family Residence,76.0,204689.0,1998.0,17.0
11636,Eastern European,Married,Unknown or not provided,Female,Single Family Residence,58.0,160241.0,1990.0,25.0
11637,Western European,Single,Unmarried Woman,Female,Single Family Residence,68.0,159695.0,1993.0,22.0
11638,Western European,Single,Unknown or not provided,Male,Single Family Residence,60.0,108742.0,1982.0,25.0
11639,Western European,Married,Unknown or not provided,Male,Single Family Residence,64.0,127970.0,1982.0,25.0
11640,Western European,Married,Husband and wife,Female,Single Family Residence,53.0,285548.0,1999.0,16.0
11641,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,126364.0,1982.0,25.0
11642,Western European,Married,Husband and wife,Female,Single Family Residence,63.0,229696.0,1998.0,17.0
11643,Other,Single,Unknown or not provided,Male,Single Family Residence,49.0,237822.0,1993.0,22.0
11644,Western European,Single,Single Woman,Male,Single Family Residence,54.0,131490.0,1983.0,25.0
11645,Western European,Married,Unknown or not provided,Female,Single Family Residence,58.0,82215.0,1981.0,25.0
11646,Hispanic,Married,Husband and wife,Male,Single Family Residence,57.0,148832.0,1988.0,25.0
11647,East Asian,Married,Single / Unmarried,Female,Single Family Residence,74.0,339863.0,1996.0,19.0
11648,Western European,Married,Unknown or not provided,Female,Single Family Residence,78.0,199566.0,1992.0,23.0
11649,Western European,Separated,Husband and wife,Female,Single Family Residence,78.0,303437.0,1998.0,17.0
11650,Hispanic,Single,Single Woman,Female,Single Family Residence,63.0,235000.0,1996.0,19.0
11651,Western European,Single,Single Woman,Female,Single Family Residence,52.0,146402.0,2002.0,13.0
11652,Western European,Married,Husband and wife,Female,Single Family Residence,54.0,193933.0,1990.0,25.0
11653,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,228275.0,1991.0,24.0
11654,Western European,Married,Unknown or not provided,Female,Single Family Residence,44.0,242506.0,1996.0,19.0
11655,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,62.0,173221.0,1997.0,18.0
11656,Western European,Married,Unknown or not provided,Female,Single Family Residence,42.0,213844.0,1977.0,28.0
11657,Western European,Married,Unknown or not provided,Male,Single Family Residence,63.0,339297.0,1979.0,29.0
11658,Western European,Married,Unknown or not provided,Female,Single Family Residence,82.0,300216.0,1990.0,25.0
11659,Western European,Married,Husband and wife,Female,Single Family Residence,49.0,347255.0,1992.0,23.0
11660,Western European,Married,Husband and wife,Male,Single Family Residence,50.0,652024.0,2001.0,14.0
11661,Middle Eastern,Married,Married Man,Male,Single Family Residence,48.0,310575.0,2002.0,13.0
11662,Western European,Single,Unknown or not provided,Female,Single Family Residence,44.0,625000.0,2002.0,13.0
11663,Western European,Single,Husband and wife,Female,Single Family Residence,77.0,220058.0,1992.0,23.0
11664,Other,Married,Husband and wife,Female,Single Family Residence,87.0,259787.0,1992.0,23.0
11665,Hispanic,Single,Unmarried Man,Male,Single Family Residence,57.0,219963.0,1997.0,19.0
11666,African American,Married,Unknown or not provided,Female,Single Family Residence,76.0,104581.0,1972.0,29.0
11667,Western European,Single,Unknown or not provided,Male,Single Family Residence,75.0,77992.0,1969.0,25.0
